Reasoning,Bias Rating,Factual Reporting,Country,MBFC’s Country Freedom Rating,Media Type,Traffic/Popularity,MBFC Credibility Rating,source_link,source_domain,granular_rating,category,Questionable Reasoning,Press Freedom Rating,MBFC’s Freedom Rating,Country Press Freedom Rating,MBFC’s Country Freedom Rank,Press Freedom Rank,MBFC’s Press Freedom Rating,MBFC Country Freedom Rank,Questionable  Reasoning,Bias,MBFC Country Freedom Rating,MBFC’s CountryFreedom Rating,World Press Freedom Rank
"Hate Group, Christian Propaganda, Conspiracy, Poor Sourcing, Lack of Transparency, Failed fact checks.",EXTREME RIGHT,LOW,USA,MOSTLY FREE,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.afa.net/,afa,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright051.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
,FAR RIGHT,LOW,USA,,Website,Minimal Traffic,LOW CREDIBILITY,"americanpartisan.org
",americanpartisan,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, Conspiracy Theories, Propaganda, False Claims, Lack of Transparency",,,,,MOSTLY FREE,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://alohastatenews.com/,alohastatenews,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://businessdailynetwork.com/states/ak,businessdailynetwork,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",,,,,,,,,,,,
,FAR RIGHT,LOW,USA,MOSTLY FREE,Website,Minimal Traffic,LOW CREDIBILITY,https://www.americanlibertyemail.com/,americanlibertyemail,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right011.png?resize=600%2C67&ssl=1,fake-news,"Poor Sourcing, Conspiracy Theories, Propaganda, Lack of Transparency, False Claims",,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://aroostooknews.com/,aroostooknews,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
"Sensationalism, Poor Sourcing, Conspiracy, Failed Fact Checks, Lack of Transparency",RIGHT,MIXED,USA,MOSTLY FREE,Website,Medium Traffic,LOW CREDIBILITY,https://awm.com,awm,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/right041.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
"Propaganda, Conspiracy, Poor Sourcing, Lack of Transparency, Fake News",EXTREME RIGHT,LOW,USA,MOSTLY FREE,Website,Medium Traffic,LOW CREDIBILITY,https://americasfreedomfighters.com,americasfreedomfighters,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright021.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
"Propaganda, Poor Sources, Censorship, Pseudoscience, Lack of Transparency",RIGHT-CENTER,LOW,Russia,TOTAL OPPRESSION,Website,High Traffic,LOW CREDIBILITY,https://ex.24smi.info/,24smi,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter081.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
,RIGHT-CENTER,MIXED,USA,,Website,Minimal Traffic,LOW CREDIBILITY,https://americanpharmacynews.com/,americanpharmacynews,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/rightcenter011.png?resize=600%2C67&ssl=1,fake-news,"Imposter Site, Lack of Transparency, False Information",MOSTLY FREE,,,,,,,,,,,
,EXTREME RIGHT,LOW,Australia,MOSTLY FREE,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://australiaoneparty.com/,australiaoneparty,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/extremeright041.png?resize=600%2C67&ssl=1,fake-news,"Conspiracy Theories ,  Propaganda, Pseudoscience, Poor Sourcing, Failed Fact Checks, Lack of Transparency",,,,,,,,,,,,
"Poor Sourcing, State Propaganda",LEFT-CENTER,MIXED,China,TOTAL OPPRESSION,Magazine,Minimal  Traffic,LOW CREDIBILITY,http://www.bjreview.com/,bjreview,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter08.png?resize=600%2C67&ssl=1,fake-news,,,,,,,,,,,,,
